filename,total_fns,total_statements,unsafe_fns,unsafe_statements,unwraps,static_mut_items
build.rs,1,2,0,0,1,0
src/alerts.rs,13,134,13,38,1,1
src/arguments.rs,42,512,39,177,0,0
src/attributes.rs,2,27,2,5,1,1
src/cfg_.rs,8,133,7,65,1,6
src/client_.rs,13,406,13,123,0,16
src/cmd_/cmd_attach_session.rs,2,80,2,23,0,0
src/cmd_/cmd_bind_key.rs,2,33,2,14,0,0
src/cmd_/cmd_break_pane.rs,1,77,1,44,0,0
src/cmd_/cmd_capture_pane.rs,4,129,4,48,0,0
src/cmd_/cmd_choose_tree.rs,2,16,2,6,0,0
src/cmd_/cmd_command_prompt.rs,4,122,4,43,1,0
src/cmd_/cmd_confirm_before.rs,4,60,4,27,0,0
src/cmd_/cmd_copy_mode.rs,1,30,1,15,0,0
src/cmd_/cmd_detach_client.rs,1,33,1,11,0,0
src/cmd_/cmd_display_menu.rs,4,315,4,135,1,0
src/cmd_/cmd_display_message.rs,2,65,2,26,0,0
src/cmd_/cmd_display_panes.rs,6,166,6,44,3,0
src/cmd_/cmd_find.rs,31,729,31,205,0,3
src/cmd_/cmd_find_window.rs,1,37,1,21,0,0
src/cmd_/cmd_if_shell.rs,4,76,4,30,0,0
src/cmd_/cmd_join_pane.rs,1,77,1,46,0,0
src/cmd_/cmd_kill_pane.rs,1,17,1,7,0,0
src/cmd_/cmd_kill_server.rs,1,4,1,1,0,0
src/cmd_/cmd_kill_session.rs,1,16,1,5,0,0
src/cmd_/cmd_kill_window.rs,1,37,1,10,0,0
src/cmd_/cmd_list_buffers.rs,1,24,1,8,0,0
src/cmd_/cmd_list_clients.rs,1,30,1,9,0,0
src/cmd_/cmd_list_keys.rs,5,205,5,38,2,0
src/cmd_/cmd_list_panes.rs,4,40,3,13,0,0
src/cmd_/cmd_list_sessions.rs,1,22,1,6,0,0
src/cmd_/cmd_list_windows.rs,3,33,3,11,0,0
src/cmd_/cmd_load_buffer.rs,2,38,2,20,0,0
src/cmd_/cmd_lock_server.rs,1,9,1,4,0,0
src/cmd_/cmd_move_window.rs,1,39,1,21,0,0
src/cmd_/cmd_new_session.rs,1,212,1,38,0,0
src/cmd_/cmd_new_window.rs,1,82,1,38,0,0
src/cmd_/cmd_paste_buffer.rs,1,44,1,12,0,0
src/cmd_/cmd_pipe_pane.rs,4,105,4,43,0,0
src/cmd_/cmd_queue.rs,41,422,41,157,1,3
src/cmd_/cmd_refresh_client.rs,6,200,6,43,0,0
src/cmd_/cmd_rename_session.rs,1,25,1,15,0,0
src/cmd_/cmd_rename_window.rs,1,11,1,9,0,0
src/cmd_/cmd_resize_pane.rs,2,120,2,45,0,0
src/cmd_/cmd_resize_window.rs,1,43,1,20,0,0
src/cmd_/cmd_respawn_pane.rs,1,38,1,27,0,0
src/cmd_/cmd_respawn_window.rs,1,36,1,25,0,0
src/cmd_/cmd_rotate_window.rs,1,76,1,19,0,0
src/cmd_/cmd_run_shell.rs,6,153,6,66,0,0
src/cmd_/cmd_save_buffer.rs,2,42,2,16,0,0
src/cmd_/cmd_select_layout.rs,1,54,1,11,0,0
src/cmd_/cmd_select_pane.rs,2,128,2,33,0,0
src/cmd_/cmd_select_window.rs,1,45,1,16,0,0
src/cmd_/cmd_send_keys.rs,3,125,3,46,3,0
src/cmd_/cmd_server_access.rs,2,59,2,22,0,0
src/cmd_/cmd_set_buffer.rs,1,59,1,22,0,0
src/cmd_/cmd_set_environment.rs,1,52,1,11,0,0
src/cmd_/cmd_set_option.rs,2,115,2,23,0,0
src/cmd_/cmd_show_environment.rs,3,64,3,25,0,0
src/cmd_/cmd_show_messages.rs,2,37,2,15,0,0
src/cmd_/cmd_show_options.rs,3,132,3,33,0,0
src/cmd_/cmd_show_prompt_history.rs,1,33,1,6,0,0
src/cmd_/cmd_source_file.rs,5,98,5,45,0,0
src/cmd_/cmd_split_window.rs,1,106,1,55,0,0
src/cmd_/cmd_swap_pane.rs,1,81,1,12,0,0
src/cmd_/cmd_swap_window.rs,1,34,1,25,0,0
src/cmd_/cmd_switch_client.rs,1,66,1,20,0,0
src/cmd_/cmd_unbind_key.rs,1,40,1,11,0,0
src/cmd_/cmd_wait_for.rs,9,102,8,45,0,1
src/cmd_/mod.rs,32,314,31,129,0,0
src/cmd_parse.rs,35,623,28,176,8,0
src/colour.rs,18,193,10,40,2,1
src/compat/b64.rs,7,81,2,14,0,0
src/compat/closefrom.rs,1,4,0,2,0,0
src/compat/fdforkpty.rs,2,3,1,1,0,0
src/compat/fgetln.rs,1,34,1,9,0,2
src/compat/freezero.rs,1,4,1,1,0,0
src/compat/getdtablecount.rs,2,14,0,3,0,0
src/compat/getopt.rs,1,55,1,0,0,6
src/compat/getpeereid.rs,1,4,1,2,0,0
src/compat/getprogname.rs,2,4,2,1,0,0
src/compat/imsg.rs,21,220,21,105,0,1
src/compat/imsg_buffer.rs,54,340,54,171,1,0
src/compat/mod.rs,1,1,0,0,0,0
src/compat/ntohll.rs,2,6,2,0,0,0
src/compat/queue.rs,29,117,27,63,0,0
src/compat/reallocarray.rs,1,6,1,2,0,0
